MusicXML Sağ El Transcript (RH only, repeat+volta+DC/DS/Coda, TS-based)
Generated UTC: 2025-09-29T16:18:24.741708+00:00
Linear measures: 78
Events: 815
Script version: 1.2.2
---
time_sec	dur_sec	pitches_sci	dyn	art
0.000	0.125	D4		
0.125	0.125	D4		
0.250	0.250	D5		staccato
0.500	0.250	A4		staccato
0.750	0.125	rest		
0.875	0.125	G#4		
1.000	0.125	rest		
1.125	0.125	G4		
1.250	0.125	rest		
1.375	0.125	F4		
1.500	0.125	F4		
1.625	0.125	D4		
1.750	0.125	F4		
1.875	0.125	G4		
2.000	0.125	C4		
2.125	0.125	C4		
2.250	0.250	D5		staccato
2.500	0.250	A4		staccato
2.750	0.125	rest		
2.875	0.125	G#4		
3.000	0.125	rest		
3.125	0.125	G4		
3.250	0.125	rest		
3.375	0.125	F4		
3.500	0.125	F4		
3.625	0.125	D4		
3.750	0.125	F4		
3.875	0.125	G4		
4.000	0.125	B3		
4.125	0.125	B3		
4.250	0.250	D5		staccato
4.500	0.250	A4		staccato
4.750	0.125	rest		
4.875	0.125	G#4		
5.000	0.125	rest		
5.125	0.125	G4		
5.250	0.125	rest		
5.375	0.125	F4		
5.500	0.125	F4		
5.625	0.125	D4		
5.750	0.125	F4		
5.875	0.125	G4		
6.000	0.125	Bb3		
6.125	0.125	Bb3		
6.250	0.250	D5		staccato
6.500	0.250	A4		staccato
6.750	0.125	rest		
6.875	0.125	G#4		
7.000	0.125	rest		
7.125	0.125	G4		
7.250	0.125	rest		
7.375	0.125	F4		
7.500	0.125	F4		
7.625	0.125	D4		
7.750	0.125	F4		
7.875	0.125	G4		
8.000	0.125	D4		
8.125	0.125	D4		
8.125	0.125	D4		
8.250	0.250	D5		staccato
8.250	0.250	D4		
8.500	0.250	A4		staccato
8.500	0.500	D4		
8.750	0.125	rest		
8.875	0.125	G#4		
9.000	0.125	rest		
9.000	0.500	D4		
9.125	0.125	G4		
9.250	0.125	rest		
9.375	0.125	F4		
9.500	0.125	F4		
9.500	0.125	D4		
9.625	0.125	D4		
9.750	0.125	F4		
9.875	0.125	G4		
10.000	0.125	C4		
10.125	0.125	C4		
10.250	0.250	D5		staccato
10.500	0.250	A4		staccato
10.750	0.125	rest		
10.875	0.125	G#4		
11.000	0.125	rest		
11.125	0.125	G4		
11.250	0.125	rest		
11.375	0.125	F4		
11.500	0.125	F4		
11.625	0.125	D4		
11.750	0.125	F4		
11.875	0.125	G4		
12.000	0.125	B3		
12.125	0.125	B3		
12.250	0.250	D5		staccato
12.500	0.250	A4		staccato
12.750	0.125	rest		
12.875	0.125	G#4		
13.000	0.125	rest		
13.125	0.125	G4		
13.250	0.125	rest		
13.375	0.125	F4		
13.500	0.125	F4		
13.625	0.125	D4		
13.750	0.125	F4		
13.875	0.125	G4		
14.000	0.125	Bb3		
14.125	0.125	Bb3		
14.250	0.250	D5		staccato
14.500	0.250	A4		staccato
14.750	0.125	rest		
14.875	0.125	G#4		
15.000	0.125	rest		
15.125	0.125	G4		
15.250	0.125	rest		
15.375	0.125	F4		
15.500	0.125	F4		
15.625	0.125	D4		
15.750	0.125	F4		
15.875	0.125	G4		
16.000	0.125	D4		
16.125	0.125	D5		
16.125	0.125	D4		
16.250	0.125	D5		
16.250	0.250	D5		staccato
16.500	0.250	D6		
16.500	0.250	A4		staccato
16.750	0.250	A5		
16.750	0.125	rest		
16.875	0.125	G#4		
17.000	0.125	G#5		
17.000	0.125	rest		
17.125	0.125	G4		
17.250	0.125	G5		
17.250	0.125	rest		
17.375	0.125	F4		
17.500	0.125	F5		
17.500	0.125	F4		
17.625	0.125	F5		
17.625	0.125	D4		
17.750	0.125	D5		
17.750	0.125	F4		
17.875	0.125	F5		
17.875	0.125	G4		
18.000	0.125	G5		
18.000	0.125	C4		
18.125	0.125	C5		
18.125	0.125	C4		
18.250	0.125	C5		
18.250	0.250	D5		staccato
18.500	0.250	D6		
18.500	0.250	A4		staccato
18.750	0.250	A5		
18.750	0.125	rest		
18.875	0.125	G#4		
19.000	0.125	G#5		
19.000	0.125	rest		
19.125	0.125	G4		
19.250	0.125	G5		
19.250	0.125	rest		
19.375	0.125	F4		
19.500	0.125	F5		
19.500	0.125	F4		
19.625	0.125	F5		
19.625	0.125	D4		
19.750	0.125	D5		
19.750	0.125	F4		
19.875	0.125	F5		
19.875	0.125	G4		
20.000	0.125	G5		
20.000	0.125	B3		
20.125	0.125	B4		
20.125	0.125	B3		
20.250	0.125	B4		
20.250	0.250	D5		staccato
20.500	0.250	D6		
20.500	0.250	A4		staccato
20.750	0.250	A5		
20.750	0.125	rest		
20.875	0.125	G#4		
21.000	0.125	G#5		
21.000	0.125	rest		
21.125	0.125	G4		
21.250	0.125	G5		
21.250	0.125	rest		
21.375	0.125	F4		
