Piano Sonata No.11 - Rondo alla Turca (Right Hand Only)
Generated UTC: 2025-09-18T05:09:02.113319+00:00
Source: HAHA.musicxml
Linear measures: 137
Events: 886 (Right Hand Only)
---
time_sec	dur_sec	hand	pitches_sci	dyn	art
0.000	0.125	RH	B4		
0.125	0.125	RH	A4		
0.250	0.125	RH	G#4		
0.375	0.125	RH	A4		
0.500	0.250	RH	C5		staccato
0.750	0.250	RH	rest		
1.000	0.125	RH	D5		
1.125	0.125	RH	C5		
1.250	0.125	RH	B4		
1.375	0.125	RH	C5		
1.500	0.250	RH	E5		staccato
1.750	0.250	RH	rest		
2.000	0.125	RH	F5		
2.125	0.125	RH	E5		
2.250	0.125	RH	D#5		
2.375	0.125	RH	E5		
2.500	0.125	RH	B5		
2.625	0.125	RH	A5		
2.750	0.125	RH	G#5		
2.875	0.125	RH	A5		
3.000	0.125	RH	B5		
3.125	0.125	RH	A5		
3.250	0.125	RH	G#5		
3.375	0.125	RH	A5		
3.500	0.500	RH	C6		
4.000	0.250	RH	A5		staccato
4.250	0.250	RH	C6		staccato
4.500	0.000	RH	G5		
4.500	0.000	RH	A5		
4.500	0.250	RH	B5		staccato
4.750	0.250	RH	F#5		staccato
5.000	0.250	RH	A5		
5.250	0.250	RH	E5		staccato
5.500	0.250	RH	G5		
5.750	0.250	RH	F#5		staccato
6.000	0.250	RH	A5		
6.250	0.000	RH	G5		
6.250	0.000	RH	A5		
6.250	0.250	RH	B5		staccato
6.500	0.250	RH	F#5		staccato
6.750	0.250	RH	A5		
7.000	0.250	RH	E5		staccato
7.250	0.250	RH	G5		
7.500	0.250	RH	F#5		staccato
7.750	0.250	RH	A5		
8.000	0.000	RH	G5		
8.000	0.000	RH	A5		
8.000	0.250	RH	B5		staccato
8.250	0.250	RH	F#5		staccato
8.500	0.250	RH	A5		
8.750	0.250	RH	E5		staccato
9.000	0.250	RH	G5		
9.250	0.250	RH	D#5		staccato
9.500	0.250	RH	F#5		
9.750	0.500	RH	E5		
10.250	0.250	RH	C5		staccato
10.500	0.250	RH	E5		
10.750	0.250	RH	D5		staccato
11.000	0.250	RH	F5		
11.250	0.250	RH	E5		staccato
11.500	0.250	RH	G5		
11.750	0.250	RH	E5		staccato
12.000	0.250	RH	G5		
12.250	0.125	RH	A5		
12.375	0.125	RH	G5		
12.500	0.125	RH	F5		
12.625	0.125	RH	E5		
12.750	0.500	RH	D5		
